product name,category,review,rating,cleaned_reviews,sentiment_score,sentiment_label
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,Barang masih disegel waktu sampai & ada garansi resminya Berfungsi dengan baik! Kualitas barang original pasti top. semoga awet,4,barang segel garansi resmi fungsi kualitas barang original top moga awet,16,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"barang sesuai,pengiriman cepat &rapi",5,barang sesuai kirim cepat rapi,6,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"Pengiriman aman dan bergaransi, warna produknya juga lucu 😁",5,kirim aman garansi warna produk lucu,6,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"pengiriman cepet banget order semlm hr ini sampe, packing ok, semua juga ok masih segel, hp bagus ori thank you",5,kirim cepat banget order semlm packing ok ok segel hp bagus orisinal thank you,16,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,barang ori,5,barang orisinal,3,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,barang sampai dengan mulus,5,barang mulus,-1,negative
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"pengiriman sesuai estimasi, pesanan teman semoga tidak mengecewakan",5,kirim sesuai estimasi pesan teman moga kecewa,5,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,sesuai deskripsi,5,sesuai deskripsi,-1,negative
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"Mudah2 bermanfaat,  menjadi ladang amal  bagi pengguna",5,manfaat ladang amal guna,6,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"barang datang dalam keadaan baik, sesuai dengan deskripsi",5,barang sesuai deskripsi,-1,negative
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,Bagus. Pengiriman cepat.,5,bagus kirim cepat,0,neutral
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"bagus, berfungsi",5,bagus fungsi,-2,negative
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"Bagus, install game yg agak berat tetap lancar",5,bagus instal game berat lancar,2,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,Proses cepat dan packing aman,5,proses cepat packing aman,1,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"Mahal dikit.., tapi gpp. yang penting Asli Baru.., Asli Garansi.., Asli Aman pengiriman. TQ Samsung official store.",5,mahal gp asli asli asli aman kirim tq samsung official store,13,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,hello.. barang di terima dengan baik.. thanks yaaa.. sesuai...,5,hello barang terima thanks ya sesuai,14,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"Barang sampai tujuan dengan selamat, masih tersegel, dan aman.    semoga awet, thanks",5,barang tuju selamat segel aman moga awet thanks,12,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,sesuai dengan pesanan,5,sesuai pesan,2,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,mantabh original,5,mantabh original,0,neutral
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,Barang aman.. mulus..  cuman sayangnya pengirimanya luamaaa bngt.. jadi agak kapok belinya gak lagi²..,4,barang aman mulus cuman sayang pengirimanya luama banget kapok beli,-4,negative
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"masih segel, aman dan berfungsi dengan baik",5,segel aman fungsi,0,neutral
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,barang diterima dengan baik dan benar,5,barang terima,2,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"Sesuai Deskripsi, warna Lilac nya bagus, baru dicoba dicas, tp tenang beli di Toko Official itu no worries lah",5,sesuai deskripsi warna lilac nya bagus coba cas tenang beli toko official no worries,1,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"Tersegel dengan baik, barang sampai dengan selamat, cepat sampai juga",5,segel barang selamat cepat,5,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"barang masih di segel dan safety ya, aman tidak ada penyok atau cacat.. semoga awet, terimakasih seller",5,barang segel safety ya aman penyok cacat moga awet terimakasih seller,9,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"Barang original, pengantaran aman ,tepat waktu, pengemasan tebal bubble wrap dan kardus. Terima kasih seller, sukses selalu",5,barang original antar aman emas tebal bubble wrap kardus terima kasih seller sukses,6,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"barang ori , sesuai",5,barang orisinal sesuai,6,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,sampai dengan amann. puas bgttt cantik hp nya❤️❤️ kamera juga baguss n jernihh,5,aman puas banget cantik hp nya kamera bagus n jernih,4,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,barang bagus ori masih disegel..pengiriman aman dan cepatt,5,barang bagus orisinal aman cepat,1,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,Kualitas HP Original dan Sertifikaai SEIN,5,kualitas hp original sertifikaai sein,4,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"barang oke admin slow response, di cancel dulu baru balas",4,barang oke admin slow response cancel balas,1,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,barang masih segel waktu sampaiii ..........,5,barang segel,0,neutral
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,pengemasan rapi dan rapat. pengiriman cepat karena pake instan,5,emas rapi rapat kirim cepat pakai instan,1,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"barang sampai dengan aman, kemasan rapi dan aman. hanya saja proses sedikit lama. barang asli",5,barang aman kemas rapi aman proses barang asli,5,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,Selalu puas belanja di samsung official store,5,puas belanja samsung official store,2,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,Barang masih segel dan pengamanan packing sangat diperhatikan,5,barang segel aman packing perhati,0,neutral
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"barang tiba dengan aman, mantepp pokoknya terpercaya",5,barang aman mantap pokok percaya,7,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"pengiriman cepat, barang di terima dengan aman",5,kirim cepat barang terima aman,4,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,Udah dateng..ori..masih segel..warna sesuai..siiip pokonyah..,5,pokonyah,0,neutral
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"pengiriman pake kurir rekomendasi (J&T) cepat untuk dalam kota, packaging pengiriman juga aman dan barang juga aman/berfungsi",5,kirim pakai kurir rekomendasi t cepat kota packaging kirim aman barang,3,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,mantap tap tappp,5,mantap tap tap,5,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,Barang yg diterima original dengan kondisi baik tanpa ada cacat / kerusakan. Terima kasih,5,barang terima original kondisi cacat rusa terima kasih,0,neutral
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,niseee,5,nise,0,neutral
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"Packing Aman pengiriman sesuai estimasi dan Original Samsung, semoga Awet",5,packing aman kirim sesuai estimasi original samsung moga awet,10,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"Barang yang dateng sesuai ekspektasi, masih di segel rapi pengemasannya juga aman bgt",5,barang sesuai ekspektasi segel rapi emas aman banget,5,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,Barang masih disegel dan ada garansi masih berfungsi dengan baik,5,barang segel garansi fungsi,0,neutral
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,sayang kepala charger tidak masuk dalam paket,5,sayang kepala charger masuk paket,1,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,sipppppppp,5,sip,0,neutral
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,barang cepat sampai.,5,barang cepat,0,neutral
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,Barang sampai dengan aman,5,barang aman,0,neutral
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,Bagus layanan cepat,5,bagus layan cepat,-2,negative
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"terimakasih , barang cepat sampai dan aman",5,terimakasih barang cepat aman,5,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"Sya bayar gojek instant. tapi kenapa sampenya H+1? saya selesai bayar jam 12, tapi kenapa baru request pickup jam 3?",5,bayar gojek instant sampenya selesai bayar jam request pickup jam,-6,negative
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,good mantap,5,good mantap,10,positive
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,"dari toko official udh pasti terjamin sih kualitasnya. Tapi kemarin sempet cekcok sm estimasi tgl sampai. Saya pake next day delivery, dan sistem menunjukkan tgl sehari s... ",2,toko official jamin sih kualitas kemarin cekcok estimasi tanggal pakai next day delivery sistem tanggal hari si,-15,negative
Samsung Galaxy A35 5G 8/256GB - Navy,Handphone,barang diterima dalam keadaan baik,5,barang terima,2,positive
